   M    BELSURF     ASURFEL        VOLSEL
 244   124.54400    0.7171E+07    0.1599E+08
 245   124.57000    0.7220E+07    0.1618E+08
 246   124.57200    0.7249E+07    0.1619E+08
 247   124.58500    0.7258E+07    0.1629E+08
 248   124.58900    0.7291E+07    0.1632E+08
 249   124.59200    0.7298E+07    0.1634E+08
 250   124.60700    0.7325E+07    0.1645E+08
 251   124.61100    0.7373E+07    0.1648E+08
 252   124.63200    0.7406E+07    0.1663E+08
 253   124.63300    0.7421E+07    0.1664E+08
 254   124.64200    0.7429E+07    0.1671E+08
 255   124.65900    0.7461E+07    0.1683E+08
 256   124.66000    0.7470E+07    0.1684E+08
 257   124.67200    0.7516E+07    0.1693E+08
 258   124.67600    0.7537E+07    0.1696E+08
 259   124.68500    0.7608E+07    0.1703E+08
 260   124.69000    0.7630E+07    0.1707E+08
 261   124.71100    0.7641E+07    0.1723E+08
 262   124.72100    0.7659E+07    0.1730E+08
 263   124.72600    0.7666E+07    0.1734E+08
 264   124.72800    0.7700E+07    0.1736E+08
 265   124.74500    0.7714E+07    0.1749E+08
 266   124.75100    0.7765E+07    0.1754E+08
 267   124.77800    0.7788E+07    0.1775E+08
 268   124.78300    0.7842E+07    0.1778E+08
 269   124.78500    0.7888E+07    0.1780E+08
 270   124.79000    0.7933E+07    0.1784E+08
 271   124.79300    0.7945E+07    0.1786E+08
 272   124.81700    0.7968E+07    0.1805E+08
 273   124.82100    0.7986E+07    0.1809E+08
 274   124.83600    0.8039E+07    0.1821E+08
 275   124.84300    0.8069E+07    0.1826E+08
 276   124.86700    0.8088E+07    0.1846E+08
 277   124.86800    0.8121E+07    0.1846E+08
 278   124.86900    0.8157E+07    0.1847E+08
 279   124.87700    0.8211E+07    0.1854E+08
 280   124.89600    0.8254E+07    0.1870E+08
 281   124.89700    0.8280E+07    0.1870E+08
 282   124.90000    0.8310E+07    0.1873E+08
 283   124.92100    0.8343E+07    0.1890E+08
 284   124.92500    0.8376E+07    0.1894E+08
 285   124.93500    0.8413E+07    0.1902E+08
 286   124.93700    0.8441E+07    0.1904E+08
 287   124.95700    0.8500E+07    0.1921E+08
 288   124.96100    0.8550E+07    0.1924E+08
 289   124.96800    0.8556E+07    0.1930E+08
 290   124.97000    0.8577E+07    0.1932E+08
 291   124.98500    0.8616E+07    0.1945E+08
 292   124.98600    0.8647E+07    0.1946E+08
 293   124.99400    0.8669E+07    0.1952E+08
 294   124.99500    0.8737E+07    0.1953E+08
 295   125.00000    0.8770E+07    0.1958E+08
 296   125.00300    0.8795E+07    0.1960E+08
 297   125.04600    0.8863E+07    0.1998E+08
 298   125.04900    0.8931E+07    0.2001E+08
 299   125.04900    0.8967E+07    0.2001E+08
 300   125.05000    0.9001E+07    0.2002E+08
 301   125.05700    0.9054E+07    0.2008E+08
